K,F,T,seed,reward_dot,cost_dot,net_dot,reward_linear,cost_linear,net_linear,reward_network,cost_network,net_network,structural_updates_network
16,4,400,6,1.2671791093373905,0.0,1.2671791093373905,1.2237246486895268,16.0,1.0637246486895269,1.374806829983053,4.22,1.332606829983053,44
16,4,400,7,0.47126600161365934,0.0,0.47126600161365934,0.41794446551975106,16.0,0.2579444655197511,0.5282897844777215,4.17,0.4865897844777215,34
16,4,400,8,0.6058658102219852,0.0,0.6058658102219852,0.5154351621196903,16.0,0.3554351621196903,0.5417599462509198,4.175,0.5000099462509199,35
16,4,400,9,0.33025656139840737,0.0,0.33025656139840737,0.3378965047786264,16.0,0.17789650477862642,0.33032598304637284,4.15,0.28882598304637286,30
16,8,400,0,0.49037447144797036,0.0,0.49037447144797036,0.4243828491318606,16.0,0.2643828491318606,0.4698041429331643,8.55,0.38430414293316434,55
16,8,400,1,0.23211442687688863,0.0,0.23211442687688863,0.17975426911559694,16.0,0.01975426911559694,0.252814354589428,8.41,0.16871435458942802,41
16,8,400,2,0.5389457473732007,0.0,0.5389457473732007,0.6691014793835999,16.0,0.5091014793835998,0.5827070466517117,8.47,0.4980070466517117,47
16,8,400,3,0.7630952656881828,0.0,0.7630952656881828,0.853260722469022,16.0,0.693260722469022,0.8230188670468166,8.95,0.7335188670468166,95
16,8,400,4,0.7836542101849356,0.0,0.7836542101849356,0.7153954333217188,16.0,0.5553954333217189,0.7113098839600481,8.64,0.6249098839600481,64
16,8,400,5,-0.07624970957872028,0.0,-0.07624970957872028,-0.021831557515454653,16.0,-0.18183155751545463,-0.009057177204069415,8.46,-0.09365717720406944,46
16,8,400,6,0.11578570084444419,0.0,0.11578570084444419,0.07811371227000276,16.0,-0.08188628772999725,0.05637184407790502,8.43,-0.027928155922094976,43
16,8,400,7,1.4062633107649019,0.0,1.4062633107649019,1.5524546798372894,16.0,1.3924546798372892,1.6059177995991556,8.68,1.5191177995991554,68
16,8,400,8,0.35217674377704666,0.0,0.35217674377704666,0.39372176628211686,16.0,0.23372176628211683,0.4566617227704798,8.4,0.37266172277047976,40
16,8,400,9,0.37116356594953076,0.0,0.37116356594953076,0.32927251720606215,16.0,0.16927251720606215,0.3466146980574036,8.42,0.2624146980574036,42
32,2,400,0,-0.015529101406811761,0.0,-0.015529101406811761,-0.022423855089758957,32.0,-0.3424238550897589,-0.010030659745571466,2.0375,-0.03040565974557147,15
32,2,400,1,0.161626001227301,0.0,0.161626001227301,0.12453186594311548,32.0,-0.19546813405688454,0.17847186111099206,2.0375,0.15809686111099205,15
32,2,400,2,0.6511239949087865,0.0,0.6511239949087865,0.5659032101865555,32.0,0.2459032101865556,0.7862517676024829,2.0575,0.7656767676024829,23
32,2,400,3,1.5098166699117366,0.0,1.5098166699117366,1.3472807542087168,32.0,1.0272807542087168,1.7410686868478207,2.0675,1.7203936868478207,27
32,2,400,4,0.06718542589422852,0.0,0.06718542589422852,0.06282516675343863,32.0,-0.2571748332465614,0.04675639068347968,2.04,0.026356390683479676,16
32,2,400,5,0.5248128396207634,0.0,0.5248128396207634,0.3815465407167944,32.0,0.061546540716794385,0.6478745466108518,2.0525,0.6273495466108517,21
