comparison_id,study,experiment,emotion,strategy_code,control_code,strategy_family,gross_family,dln_stage,n_exp,n_ctrl,n_total,d_experiential,d_behavioral,d_physiological,d_composite,n_outcomes,se_d,vi
212,Pendergrass(2005),1,negative_affect,R2,Cont3,reappraisal,cognitive_change,network,30.0,15.0,45.0,0.4,,,0.4,1,0.319,0.101778
213,Pendergrass(2005),1,negative_affect,R3,Cont3,reappraisal,cognitive_change,network,30.0,30.0,60.0,0.04,,,0.04,1,0.2582,0.06668
214,Phillipsetal.(2008),1,negative_affect,S1,Cont4,suppression,response_modulation,linear,32.0,32.0,64.0,0.13,0.96,,0.545,2,0.2546,0.064821
215,Phillipsetal.(2008),1,negative_affect,D1,Cont4,distraction,attentional_deployment,linear,31.0,32.0,63.0,0.88,0.54,,0.71,2,0.2598,0.067509
216,Pipeetal.(2009),1,none,R1,Cont1,reappraisal,cognitive_change,network,15.0,17.0,32.0,0.33,,,0.33,1,0.3566,0.127192
217,Purdon(2001),1,anxiety,S3,Cont2,suppression,response_modulation,linear,44.0,40.0,84.0,0.22,,,0.22,1,0.2191,0.048015
218,Purdon&Clark(2001),1,anxiety,S3,Cont2,suppression,response_modulation,linear,38.0,35.0,73.0,0.09,,,0.09,1,0.2344,0.054943
219,Purdon&Clark(2001),1,positive_affect,S3,Cont2,suppression,response_modulation,linear,36.0,38.0,74.0,0.17,,,0.17,1,0.233,0.054289
220,Quartana&Burns(2007),1,anger,S1,Cont2,suppression,response_modulation,linear,35.0,34.0,69.0,0.21,,,0.21,1,0.2415,0.058303
221,Quartana&Burns(2007),1,anger,S2,Cont2,suppression,response_modulation,dot,35.0,34.0,69.0,-0.1,,,-0.1,1,0.2409,0.058056
222,Quartana&Burns(2007),1,anxiety,S1,Cont2,suppression,response_modulation,linear,35.0,34.0,69.0,0.16,,,0.16,1,0.2412,0.058169
223,Quartana&Burns(2007),1,anxiety,S2,Cont2,suppression,response_modulation,dot,35.0,34.0,69.0,0.43,,,0.43,1,0.2436,0.059323
224,Quartanaetal.(2007),1,anger,S2,Cont1,suppression,response_modulation,dot,26.0,26.0,52.0,0.0,,,0.0,1,0.2774,0.076923
225,Quartanaetal.(2007),2,anger,S2,Cont1,suppression,response_modulation,dot,48.0,48.0,96.0,-0.09,,,-0.09,1,0.2042,0.041709
226,Raesetal.(2008),1,none,C1,C2,concentration,attentional_deployment,dot,102.0,93.0,195.0,0.18,,,0.18,1,0.1437,0.02064
227,Rayetal.(2008),1,anger,R3,C3,reappraisal,cognitive_change,network,43.0,34.0,77.0,0.75,,,0.75,1,0.2373,0.05632
228,Rayetal.(2008),2,anger,R3,C3,reappraisal,cognitive_change,network,55.0,61.0,116.0,0.64,-0.08,,0.28,2,0.1869,0.034913
229,Richard(2006),1,none,R2,D4,reappraisal,cognitive_change,network,60.0,60.0,120.0,0.16,,,0.16,1,0.1829,0.03344
230,Richards&Gross(1999),1,negative_affect,S1,Cont1,suppression,response_modulation,linear,29.0,29.0,58.0,0.25,1.75,,1.0,2,0.2785,0.077586
231,Richards&Gross(1999),2,negative_affect,S1,Cont1,suppression,response_modulation,linear,41.0,44.0,85.0,0.24,1.04,-0.17,0.37,3,0.2189,0.047923
