sample_id,citation,expt,sample,n,n_crit,topic,icc,n_iat,iat_type,ecc,n_expl,expl_type,iec
113,Nosek & Hansen (2008),7,4,203,2,Consumer,0.459,1,Attitude,0.780,2,Att/belief,0.499
114,Nosek et al. (2002b),1,1,227,1,Personality,0.380,1,Attitude,0.490,1,Attitude,0.420
115,K. R. Olson et al. (2006),1,1,76,1,Gender/sex,0.337,2,Attitude,0.512,2,Attitude,0.342
116,M. A. Olson & Fazio (2004),3,1,26,2,Consumer,0.185,1,Attitude,0.870,1,Attitude,0.150
117,M. A. Olson & Fazio (2004),3,2,33,2,Consumer,0.526,1,Attitude,0.880,1,Attitude,0.670
118,M. A. Olson & Fazio (2004),4,3,12,1,Politics,0.310,1,Attitude,0.830,1,Attitude,0.560
119,M. A. Olson & Fazio (2004),4,4,9,1,Politics,0.610,1,Attitude,0.850,1,Attitude,0.730
120,Perugini (2005),1,1,48,1,Drugs/tobacco,0.640,1,Attitude,0.480,1,Attitude,0.480
121,Perugini (2005),2,2,109,2,Consumer,0.190,1,Attitude,0.278,1,Attitude,0.090
122,Phelps et al. (2000),1,1,12,1,Race (Bl/Wh),0.576,1,Attitude,0.047,1,Belief,
123,Plessner et al. (2006),1,1,40,1,Consumer,0.572,1,Attitude,0.662,1,Attitude,0.443
124,Plessner et al. (2006),2,2,109,2,Consumer,0.093,2,Attitude,0.301,3,Attitude,0.138
125,Powell & Williams (2000),1,1,55,1,Other intergroup,0.313,1,Attitude,,,
126,Redker & Gibson (in press),1,1,68,1,Consumer,0.262,1,Attitude,0.357,1,Attitude,0.210
127,Richeson et al. (2003),1,1,15,3,Race (Bl/Wh),0.554,1,Attitude,,,
128,Richeson et al. (2003),2,2,15,2,Race (Bl/Wh),0.610,1,Attitude,,,
129,Richeson & Shelton (2003),1,1,21,2,Race (Bl/Wh),0.474,1,Attitude,0.389,1,Attitude,0.251
130,Robinson et al. (2005),1,1,48,1,Drugs/tobacco,0.520,1,Attitude,0.491,1,Attitude,0.480
131,Robinson et al. (2005),2,2,52,1,Drugs/tobacco,0.260,2,Attitude,0.456,1,Attitude,0.400
132,Robinson et al. (2006),1,1,96,1,Clinical,0.210,1,Self,,,
133,Robinson et al. (2006),2,2,61,4,Clinical,0.309,1,Self,,,
134,Ronay & Kim (2006),1,1,126,2,Personality,0.204,2,Belief,0.134,3,Belief,0.090
135,Rudman & Ashmore (2007),1,1,64,3,Race (Bl/Wh),0.265,2,Att/belief,0.395,2,Att/belief,0.268
136,Rudman & Ashmore (2007),2,2,89,1,Other intergroup,0.380,1,Belief,0.239,3,Multiple,0.530
137,Rudman & Ashmore (2007),2,3,89,2,Other intergroup,0.275,2,Att/belief,0.181,3,Multiple,0.192
138,Rudman & Ashmore (2007),2,4,126,3,Race (Bl/Wh),0.205,2,Att/belief,0.033,3,Multiple,0.225
139,Rudman & Glick (2001),1,1,27,2,Gender/sex,0.367,1,Belief,0.095,1,Belief,0.040
140,Rudman & Glick (2001),1,2,19,2,Gender/sex,0.408,1,Belief,0.297,1,Belief,0.040
141,Rudman & Heppen (2003),1,1,77,3,Gender/sex,0.318,1,Belief,0.057,1,Belief,0.170
142,Rudman & Heppen (2003),2,2,121,3,Gender/sex,0.167,1,Belief,0.033,1,Belief,0.090
143,Rudman & Heppen (2003),3,3,73,4,Gender/sex,0.269,2,Att/belief,0.104,2,Att/belief,0.242
144,Rudman & Lee (2002),2,1,38,3,Race (Bl/Wh),0.232,1,Belief,0.147,2,Belief,0.190
145,Rydell & McConnell (2006),4,1,29,2,Relationships,0.229,1,Attitude,0.433,1,Attitude,0.030
146,Sargent & Theil (2001),1,1,38,1,Race (Bl/Wh),0.320,1,Attitude,0.070,1,Belief,0.010
147,Scarabis et al. (2006),1,1,25,1,Consumer,0.595,2,Belief,0.373,2,Attitude,0.481
148,Scarabis et al. (2006),1,2,24,2,Consumer,0.287,2,Belief,0.282,2,Attitude,0.397
149,Scarabis et al. (2006),1,3,25,3,Consumer,0.165,2,Belief,0.301,2,Attitude,0.440
150,Scarabis et al. (2006),1,4,24,4,Consumer,0.066,2,Belief,0.320,2,Attitude,0.039
151,Schnabel et al. (2006a),1,1,100,4,Clinical,0.021,2,Self,0.193,7,Self,0.181
152,Schnabel et al. (2006b),1,1,58,1,Clinical,0.170,1,Self,0.360,1,Self,0.150
153,Sekaquaptewa et al. (2003),1,1,79,1,Race (Bl/Wh),0.030,1,Attitude,0.010,1,Belief,0.160
154,Sherman et al. (2003),1,1,54,1,Drugs/tobacco,0.120,1,Attitude,,,
155,Shoda & Zayas (1999),2,1,84,6,Relationships,0.060,3,Belief,0.225,3,Belief,0.217
156,Shoda & Zayas (1999),3,2,40,8,Relationships,0.369,1,Belief,0.097,1,Belief,0.054
157,Smoak et al. (2006),1,1,19,3,Relationships,0.341,1,Belief,0.205,3,Belief,0.004
158,Spicer & Monteith (2001),2,1,78,7,Race (Bl/Wh),0.146,1,Attitude,,,
